,pl_name,hostname,default_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,sy_pnum,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_relincl,pl_relinclerr1,pl_relinclerr2
4124,TOI-942 b,TOI-942,1.0,0.088,0.0014,-0.0014,27.0,5.0,-5.0,2.0,0.175,0.139,-0.103,89.2,0.6,-0.6,0.0,0.848528137423857,0.848528137423857
4125,TOI-942 c,TOI-942,1.0,0.0498,0.0007,-0.0007,21.0,4.0,-4.0,2.0,0.285,0.133,-0.099,88.6,1.0,-1.0,0.6000000000000085,1.16619037896906,1.16619037896906
