hostname,pl_name,default_flag,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2
Kepler-186,Kepler-186 c,0,2015-08-25,5,0.0575,,,1.23,0.16,-0.16,,,,0.0,,,89.38,,,,,
Kepler-186,Kepler-186 d,0,2015-08-25,5,0.0862,,,1.53,0.2,-0.2,,,,0.0,,,87.66,,,,,
Kepler-186,Kepler-186 b,0,2015-08-25,5,0.0379,,,1.05,0.13,-0.14,,,,0.0,,,89.95,,,,,
Kepler-49,Kepler-49 c,0,2017-05-08,4,0.0785,,,2.13,0.12,-0.16,,,,0.0,,,88.68,,,,,
Kepler-49,Kepler-49 d,0,2017-05-08,4,0.03,,,1.57,0.09,-0.12,,,,0.0,,,89.14,,,,,
Kepler-49,Kepler-49 e,0,2017-05-08,4,0.112,,,1.53,0.08,-0.12,,,,0.0,,,89.99,,,,,
Kepler-36,Kepler-36 b,0,2014-11-18,2,0.1155,,,1.48,0.02,-0.02,,,,0.0,,,89.38,,,,,
Kepler-186,Kepler-186 c,0,2014-11-18,5,0.0575,,,1.23,0.16,-0.16,,,,0.0,,,89.38,,,,,
Kepler-186,Kepler-186 d,0,2014-11-18,5,0.0862,,,1.53,0.2,-0.2,,,,0.0,,,87.66,,,,,
Kepler-186,Kepler-186 e,0,2014-11-18,5,0.1218,,,1.26,0.17,-0.16,,,,0.0,,,89.38,,,,,
Kepler-49,Kepler-49 d,0,2014-11-21,4,0.03,,,1.54,0.18,-0.18,,,,0.0,,,89.38,,,,,
Kepler-20,Kepler-20 f,0,2014-11-21,6,0.1362,,,0.99,0.18,-0.08,,,,0.0,,,89.38,,,,,
Kepler-28,Kepler-28 c,0,2014-11-21,2,0.071,,,1.94,0.3,-0.31,,,,0.0,,,87.09,,,,,
Kepler-128,Kepler-128 b,0,2014-11-21,2,0.1263,,,1.43,0.03,-0.03,,,,0.0,,,89.95,,,,,
Kepler-128,Kepler-128 c,0,2014-11-21,2,0.1664,,,1.42,0.03,-0.03,,,,0.0,,,88.81,,,,,
Kepler-36,Kepler-36 c,0,2014-11-21,2,0.1284,,,3.94,0.05,-0.05,,,,0.0,,,86.52,,,,,
Kepler-24,Kepler-24 c,0,2014-11-21,4,0.1033,,,4.75,1.76,-0.69,,,,0.0,,,77.35,,,,,
Kepler-24,Kepler-24 b,0,2014-11-21,4,0.0783,,,3.11,1.15,-0.46,,,,0.0,,,79.07,,,,,
Kepler-105,Kepler-105 b,0,2014-11-19,2,0.0609,,,2.54,,,,,,,,,,,,,,
K2-19,K2-19 c,0,2021-07-12,3,0.0992480921471309,,,,,,7.5,3.0,-1.4,0.183,0.283,-0.003,,,,,,
KOI-94,KOI-94 d,0,2015-09-02,4,0.1745004131265352,,,10.963778678603346,,,52.1,6.9,-7.1,,,,,,,,,
WASP-84,WASP-84 b,0,2019-03-18,2,0.0771,0.0011,-0.0011,10.559,0.247,-0.247,220.57402,15.57367,-14.93801,0.077,,,88.368,0.05,-0.05,,,
Kepler-396,Kepler-396 c,0,2018-09-04,2,,,,4.495,0.212,-0.197,,,,,,,,,,,,
TOI-1130,TOI-1130 b,1,2024-02-05,2,0.04457,0.00036,-0.00036,3.56,0.13,-0.13,19.28,0.97,-0.97,0.0541,0.0015,-0.0015,92.14,0.26,-0.26,,,
KOI-94,KOI-94 b,0,2018-09-25,4,0.0498564286821504,,,,,,,,,,,,,,,,,
LTT 3780,LTT 3780 b,0,2023-10-09,2,,,,1.141,1.514,-1.514,,,,,,,,,,,,
LTT 3780,LTT 3780 b,0,2021-08-03,2,0.01203,0.00054,-0.00053,1.35,0.06,-0.06,2.34,0.24,-0.23,0.064,0.075,-0.046,85.9,0.59,-0.5,,,
LTT 3780,LTT 3780 b,0,2023-07-10,2,0.0118917519451223,,,1.32,0.06,-0.06,2.47,0.24,-0.24,0.032,0.027,-0.018,,,,,,
LTT 3780,LTT 3780 b,0,2020-05-28,2,0.01211,0.00012,-0.00012,1.332,0.072,-0.075,2.62,0.48,-0.46,0.0,,,87.1,1.8,-1.7,,,
K2-19,K2-19 b,1,2022-01-31,3,0.0745290881166308,,,7.0,0.2,-0.2,32.4,1.7,-1.7,0.2,0.03,-0.03,91.5,0.1,-0.1,,,
LTT 3780,LTT 3780 c,0,2023-10-09,2,,,,2.297,0.394,-0.394,,,,,,,,,,,,
LTT 3780,LTT 3780 c,0,2021-08-03,2,0.0762,0.0034,-0.0034,2.42,0.1,-0.1,6.29,0.63,-0.61,0.115,0.07,-0.065,89.08,0.11,-0.13,,,
LTT 3780,LTT 3780 c,0,2023-07-10,2,0.0753364013944326,,,2.33,0.14,-0.13,7.02,0.69,-0.67,0.03,0.029,-0.017,,,,,,
LTT 3780,LTT 3780 c,1,2024-03-26,2,0.0757,0.0018,-0.0018,2.39,0.1,-0.11,8.04,0.5,-0.48,0.024,0.032,-0.017,88.958,0.074,-0.068,,,
LTT 3780,LTT 3780 c,0,2020-05-28,2,0.07673,0.00075,-0.00077,2.3,0.16,-0.15,8.6,1.6,-1.3,0.06,0.15,-0.14,89.18,0.47,-0.22,,,
KOI-94,KOI-94 d,0,2018-09-25,4,0.164054791445949,,,,,,,,,,,,,,,,,
Kepler-68,Kepler-68 b,0,2019-06-07,4,,,,2.32,0.104,-0.094,,,,,,,,,,,,
TOI-5398,TOI-5398 c,0,2024-04-07,2,,,,3.302,0.173,-0.173,,,,,,,,,,,,
Kepler-93,Kepler-93 b,0,2018-04-25,2,0.0551199513552818,,,1.63,0.04,-0.09,,,,,,,,,,,,
Kepler-68,Kepler-68 c,0,2014-11-21,4,0.0907,,,0.92,0.01,-0.01,,,,0.0,,,89.95,,,,,
Kepler-68,Kepler-68 c,0,2019-06-07,4,0.0901646814061345,,,,,,,,,,,,,,,,,
HAT-P-11,HAT-P-11 b,0,2015-08-25,2,0.053,,,4.84,0.19,-0.14,,,,0.0,,,89.95,,,,,
HAT-P-11,HAT-P-11 b,0,2018-06-26,2,0.0516622995571347,,,,,,,,,,,,,,,,,
HAT-P-11,HAT-P-11 b,0,2018-06-26,2,0.053,0.0002,-0.0008,4.73,0.157,-0.157,25.743,2.86,-2.86,0.198,0.046,-0.046,88.5,0.6,-0.6,,,
Kepler-68,Kepler-68 b,0,2019-06-07,4,0.063752325587078,,,2.354,0.673,-0.673,6.3566,3.1783,-3.1783,0.0,,,87.6,0.9,-0.9,,,
Kepler-68,Kepler-68 c,0,2019-06-07,4,0.09059,0.00082,-0.00082,0.953,0.037,-0.042,4.8,2.5,-3.6,0.0,,,86.93,0.41,-0.41,,,
Kepler-68,Kepler-68 c,0,2018-09-25,4,0.0901646673253272,,,,,,,,,,,,,,,,,
WASP-53,WASP-53 b,0,2022-10-18,2,,,,,,,,,,,,,,,,,,
Kepler-52,Kepler-52 c,0,2016-05-06,3,0.1099201860026373,,,2.14,0.08,-0.08,,,,,,,,,,,,
TOI-2076,TOI-2076 d,0,2022-09-15,3,,,,3.17,0.208,-0.208,,,,,,,,,,,,
TOI-1836,TOI-1836 b,0,2024-02-16,2,,,,8.185,0.364,-0.364,,,,,,,,,,,,
TOI-178,TOI-178 c,0,2022-08-09,6,,,,1.515,1.69,-1.69,,,,,,,,,,,,
HD 191939,HD 191939 d,1,2022-11-14,6,0.2132,0.0065,-0.0061,2.995,0.07,-0.07,2.8,0.6,-0.6,0.031,0.018,-0.012,89.49,0.05,-0.08,,,
TOI-1669,TOI-1669 b,0,2023-02-07,2,1.2361472113723966,,,,,,182.11568,23.5193,-23.5193,0.14,0.13,-0.13,,,,,,
TOI-1694,TOI-1694 b,0,2023-02-07,2,0.0447301028791737,,,5.44,0.18,-0.18,26.1,2.2,-2.2,0.0,,,,,,,,
TOI-2076,TOI-2076 c,0,2023-02-25,3,,,,3.782,0.242,-0.242,,,,,,,,,,,,
TOI-561,TOI-561 b,1,2023-03-15,4,0.0106,0.0001,-0.0001,1.425,0.037,-0.037,2.0,0.23,-0.23,0.0,,,87.2,1.9,-2.1,,,
TOI-561,TOI-561 c,1,2023-03-15,4,0.0884,0.0009,-0.0009,2.91,0.04,-0.04,5.39,0.69,-0.68,0.03,0.035,-0.021,89.69,0.21,-0.31,,,
TOI-561,TOI-561 d,1,2023-03-15,4,0.158,0.002,-0.002,2.82,0.07,-0.07,13.2,1.0,-0.9,0.122,0.054,-0.048,89.4,0.21,-0.11,,,
TOI-561,TOI-561 c,0,2023-03-15,4,0.089,0.003,-0.003,2.91,0.04,-0.04,6.6,0.73,-0.73,,,,,,,,,
TOI-561,TOI-561 d,0,2023-03-15,4,0.159,0.006,-0.006,2.82,0.07,-0.07,12.15,1.1,-1.1,,,,,,,,,
Kepler-20,Kepler-20 b,1,2023-04-17,6,0.04565,0.00089,-0.00089,1.773,0.053,-0.03,9.7,1.3,-1.3,0.083,,,87.36,0.22,-1.6,,,
Kepler-20,Kepler-20 e,1,2023-04-17,6,0.0637,0.0012,-0.0012,0.821,0.022,-0.022,0.76,,,0.092,,,87.63,1.1,-0.13,,,
Kepler-20,Kepler-20 f,1,2023-04-17,6,0.1387,0.0027,-0.0027,0.952,0.047,-0.087,1.4,,,0.094,,,88.788,0.43,-0.072,,,
Kepler-37,Kepler-37 b,1,2023-04-17,4,0.1019,0.0014,-0.0014,0.31,0.006,-0.008,0.79,,,0.098,,,88.63,0.3,-0.53,,,
Kepler-37,Kepler-37 c,1,2023-04-17,4,0.139,0.002,-0.002,0.755,0.033,-0.055,1.3,,,0.099,,,89.07,0.19,-0.33,,,
GJ 9827,GJ 9827 d,0,2023-04-17,3,0.0559,0.00046,-0.00046,2.022,0.046,-0.043,3.53,0.87,-0.88,0.13,,,87.443,0.045,-0.045,,,
TOI-1694,TOI-1694 b,0,2023-05-26,2,0.0389193884696114,,,5.458,0.468,-0.792,,,,,,,88.17,1.15,-1.19,,,
HIP 9618,HIP 9618 b,0,2024-07-12,2,0.1438,0.0025,-0.0037,3.9,0.044,-0.044,10.0,3.1,-3.1,0.22,0.25,-0.15,,,,,,
HIP 9618,HIP 9618 c,0,2024-07-12,2,0.2669,0.0046,-0.0069,3.343,0.039,-0.039,18.3,1.7,-1.7,0.23,0.25,-0.16,,,,,,
LTT 1445 A,LTT 1445 A b,1,2023-08-22,2,0.022,0.003,-0.003,1.18,0.06,-0.06,,,,,,,89.203,0.658,-0.658,,,
HD 42813,HD 42813 c,1,2023-09-05,3,0.0436,0.0006,-0.0007,1.58,0.1,-0.11,4.5,0.3,-0.3,,,,86.3,0.8,-0.6,,,
HD 63433,HD 63433 b,0,2024-01-05,3,0.0714,0.0036,-0.0038,2.112,0.093,-0.086,,,,0.24,0.27,-0.18,88.49,0.87,-0.4,,,
GJ 9827,GJ 9827 c,0,2024-03-04,3,0.0424401642235406,,,1.3378762248945613,,,,,,,,,88.19,0.21,-0.18,,,
HD 191939,HD 191939 c,0,2024-03-04,6,0.1769995742325762,,,3.2379538796820366,,,,,,,,,89.124,0.091,-0.097,,,
Kepler-20,Kepler-20 b,0,2024-02-21,6,0.045862,,,2.007,0.183,-0.183,9.51298,1.45889,-1.45889,0.0,,,,,,,,
Kepler-20,Kepler-20 c,0,2024-02-21,6,0.094049,,,2.88,0.134,-0.134,13.55003,2.25191,-2.25191,0.0,,,,,,,,
Kepler-37,Kepler-37 d,0,2024-02-21,4,0.210603,,,1.91,0.047,-0.047,,,,0.0,,,,,,,,
Kepler-37,Kepler-37 e,0,2024-02-21,4,0.25,,,,,,8.1,1.7,-1.7,0.0,,,,,,,,
GJ 9827,GJ 9827 b,1,2024-03-25,3,0.0189,0.0004,-0.0004,1.44,0.09,-0.07,4.28,0.35,-0.33,,,,87.6,1.31,-1.27,,,
TOI-1347,TOI-1347 c,1,2024-03-04,2,0.054733209381168,,,1.6,0.1,-0.1,6.4,,,0.0,,,87.5,0.4,-0.4,,,
TOI-561,TOI-561 d,0,2024-05-08,4,,,,2.878,1.145,-1.145,,,,,,,,,,,,
Kepler-23,Kepler-23 d,1,2024-06-10,3,0.1235857294353999,,,2.206,0.057,-0.057,4.44,1.3,-1.21,0.01,0.014,-0.008,,,,,,
Kepler-24,Kepler-24 b,1,2024-06-10,4,0.0807456758023829,,,2.348,0.092,-0.091,11.14,2.25,-1.93,0.023,0.014,-0.016,,,,,,
Kepler-49,Kepler-49 b,1,2024-06-10,4,0.0618869849066172,,,2.579,0.087,-0.086,9.77,0.94,-0.95,,,,,,,,,
Kepler-49,Kepler-49 c,1,2024-06-10,4,0.0816446053497479,,,2.444,0.083,-0.082,8.38,0.92,-0.89,0.008,0.023,-0.005,,,,,,
Kepler-28,Kepler-28 b,1,2024-06-10,2,0.056255156886114,,,1.959,0.043,-0.042,1.63,0.51,-0.4,,,,,,,,,
Kepler-305,Kepler-305 b,0,2024-06-10,4,0.0572367952476036,,,2.829,0.094,-0.094,,,,0.005,0.0035,-0.0034,,,,,,
HD 42813,HD 42813 b,0,2024-07-12,3,0.109,0.002,-0.002,3.36,0.14,-0.14,5.8,2.4,-2.4,0.0,,,,,,,,
Kepler-58,Kepler-58 e,0,2018-09-25,4,0.0533626624902016,,,,,,,,,,,,,,,,,
Kepler-58,Kepler-58 e,0,2015-08-25,4,0.0533,,,1.58,0.71,-0.19,,,,0.0,,,87.09,,,,,
Kepler-58,Kepler-58 b,0,2019-04-16,4,0.092768073705049,,,,,,,,,,,,,,,,,
Kepler-58,Kepler-58 d,1,2014-05-14,4,0.236,,,2.94,1.4,-1.4,,,,,,,,,,,,
Kepler-60,Kepler-60 b,0,2014-11-21,3,0.075,,,1.97,1.09,-0.5,,,,0.0,,,83.65,,,,,
Kepler-60,Kepler-60 c,0,2018-06-26,3,0.0841676415404545,,,1.8,0.3,-0.3,2.0,0.3,-0.5,,,,,,,,,
Kepler-60,Kepler-60 b,0,2016-04-13,3,0.0748454782946137,,,2.2,1.22,-0.56,23.1,11.8,-6.8,,,,,,,,,
Kepler-54,Kepler-54 d,0,2018-09-25,3,0.1197727993903463,,,,,,,,,,,,,,,,,
Kepler-176,Kepler-176 b,0,2018-09-04,4,,,,1.552,0.227,-0.157,,,,,,,,,,,,
TOI-1836,TOI-1836 b,1,2024-07-22,2,0.157,0.003,-0.003,8.281,0.204,-0.168,24.7,6.1,-5.9,0.0,,,,,,,,
HD 93963 A,HD 93963 A c,1,2024-07-22,2,0.04726,0.0008,-0.0009,3.12,0.135,-0.104,18.4,3.2,-3.1,0.0,,,,,,,,
HD 191939,HD 191939 b,0,2024-07-22,6,0.079,0.002,-0.002,3.395,0.08,-0.094,9.6,0.9,-0.9,0.0,,,,,,,,
HD 191939,HD 191939 e,0,2024-07-22,6,0.4,0.008,-0.008,,,,116.0,5.0,-5.0,0.0,,,,,,,,
TOI-561,TOI-561 c,0,2024-07-22,4,0.087,0.002,-0.002,2.927,0.205,-0.1,6.9,1.3,-1.2,0.0,,,,,,,,
TOI-561,TOI-561 d,0,2024-07-22,4,0.156,0.003,-0.003,2.721,0.114,-0.096,11.0,1.8,-1.8,0.0,,,,,,,,
TOI-561,TOI-561 e,0,2024-07-22,4,0.327,0.008,-0.008,,,,8.2,3.0,-3.2,0.0,,,,,,,,
TOI-2076,TOI-2076 c,1,2024-07-22,3,0.142,0.003,-0.003,3.694,0.142,-0.111,55.0,,,0.0,,,,,,,,
TOI-1288,TOI-1288 c,1,2024-07-22,2,1.07,0.03,-0.03,,,,85.7,12.1,-11.7,0.0,,,,,,,,
TOI-1246,TOI-1246 c,1,2024-07-22,4,0.061,0.001,-0.001,2.451,0.138,-0.088,9.1,1.3,-1.2,0.0,,,,,,,,
TOI-1669,TOI-1669 b,1,2024-07-22,2,1.27,0.03,-0.03,,,,191.0,25.0,-24.0,0.0,,,,,,,,
TOI-1347,TOI-1347 c,0,2024-07-23,2,0.0546,0.0009,-0.001,1.678,0.09,-0.068,9.0,,,0.0,,,,,,,,
HD 63935,HD 63935 b,1,2024-07-23,2,0.083,0.002,-0.002,2.916,0.093,-0.077,10.5,1.6,-1.5,0.0,,,,,,,,
Kepler-345,Kepler-345 c,0,2015-08-25,2,0.0742,,,1.22,0.1,-0.13,,,,0.0,,,89.95,,,,,
Kepler-26,Kepler-26 c,0,2014-11-21,4,0.1071,,,2.82,0.42,-0.43,,,,0.0,,,88.81,,,,,
Kepler-26,Kepler-26 d,0,2018-09-04,4,,,,1.36,0.053,-0.041,,,,,,,,,,,,
Kepler-26,Kepler-26 e,0,2016-05-06,4,0.2168038133426882,,,2.34,0.12,-0.11,,,,,,,,,,,,
Kepler-26,Kepler-26 b,0,2016-04-13,4,0.0925056803047238,,,2.89,0.45,-0.44,,,,,,,,,,,,
TOI-700,TOI-700 c,0,2024-02-16,4,,,,2.587,0.102,-0.102,,,,,,,,,,,,
TOI-836,TOI-836 b,1,2023-02-25,2,0.0422,0.00093,-0.00093,1.704,0.067,-0.067,4.53,0.92,-0.86,0.053,0.042,-0.042,87.57,0.44,-0.44,,,
TOI-836,TOI-836 b,0,2023-12-04,2,,,,1.693,0.158,-0.158,,,,,,,,,,,,
LTT 1445 A,LTT 1445 A b,0,2024-07-22,2,0.0381,0.00067,-0.0007,1.34,0.11,-0.06,2.73,0.25,-0.23,,,,89.53,0.33,-0.4,,,
LTT 1445 A,LTT 1445 A c,0,2024-07-22,2,0.02659,0.00047,-0.00049,1.07,0.1,-0.07,1.37,0.19,-0.19,,,,87.46,0.13,-0.21,,,
TOI-451,TOI-451 d,0,2022-08-09,3,,,,3.925,0.51,-0.51,,,,,,,,,,,,
K2-198,K2-198 b,1,2019-08-09,3,0.0913984233600458,,,4.189,0.228,-0.098,,,,,,,88.904,0.094,-0.027,,,
K2-199,K2-199 b,0,2016-07-18,2,0.0382882067886161,,,1.8401183738103823,,,,,,,,,,,,,,
K2-233,K2-233 b,0,2018-04-25,3,0.03317,0.00044,-0.00045,1.398,0.062,-0.06,,,,0.0,,,88.79,0.82,-0.94,,,
KOI-12,KOI-12 b,0,2013-10-28,2,0.144,,,13.4,6.6,-6.6,,,,0.0,,,89.95,,,,,
KOI-94,KOI-94 b,1,2014-05-14,4,0.05119,0.00067,-0.00067,1.71,0.16,-0.16,10.5,4.6,-4.6,0.25,0.17,-0.17,89.3,0.57,-0.57,,,
KOI-94,KOI-94 c,0,2018-09-04,4,,,,3.861,0.174,-0.159,,,,,,,,,,,,
KOI-94,KOI-94 e,0,2015-09-02,4,0.3171465206556579,,,6.445060961728415,,,13.0,2.5,-2.1,,,,,,,,,
KOI-94,KOI-94 d,1,2014-05-14,4,0.1684,0.0022,-0.0022,11.27,1.06,-1.06,106.0,11.0,-11.0,0.022,0.038,-0.038,89.871,0.123,-0.123,,,
KOI-94,KOI-94 e,0,2024-03-04,4,0.3371067911864336,,,6.850694169109923,,,,,,,,,89.554,0.048,-0.044,,,
Kepler-18,Kepler-18 b,0,2013-10-28,3,0.044,,,1.82,0.17,-0.17,,,,0.0,,,85.37,,,,,
Kepler-18,Kepler-18 c,0,2024-02-21,3,0.075494,,,4.267,0.106,-0.106,19.74151,4.91154,-4.91154,0.0,,,,,,,,
Kepler-18,Kepler-18 b,0,2016-07-26,3,0.0440754759101407,,,,,,,,,,,,,,,,,
Kepler-18,Kepler-18 b,0,2014-11-21,3,0.0434,,,2.11,0.14,-0.14,,,,0.0,,,84.8,,,,,
HD 39091,HD 39091 b,0,2018-11-12,3,3.1,0.02,-0.02,,,,3184.6566,47.6745,-47.6745,0.637,0.002,-0.002,,,,,,
55 Cnc,55 Cnc e,0,2021-02-05,5,0.0152435384826667,,,1.897,0.044,-0.046,7.74,0.37,-0.3,,,,,,,,,
Kepler-60,Kepler-60 d,0,2018-06-26,3,0.1020018444705166,,,1.6,0.3,-0.3,3.9,0.7,-0.6,,,,,,,,,
Kepler-60,Kepler-60 d,0,2013-10-28,3,0.106,,,2.5,1.3,-1.3,,,,0.0,,,83.65,,,,,
Kepler-60,Kepler-60 b,0,2015-08-25,3,0.075,,,1.97,1.09,-0.5,,,,0.0,,,83.65,,,,,
Kepler-60,Kepler-60 d,0,2017-05-08,3,0.1012,,,1.69,0.27,-0.33,,,,0.0,,,87.21,,,,,
Kepler-54,Kepler-54 c,0,2014-05-28,3,0.0848886985890503,,,1.32,0.08,-0.08,19.8,6.6,-4.4,,,,,,,,,
Kepler-54,Kepler-54 d,0,2016-03-02,3,0.0602290385808278,,,1.14,0.25,-0.22,,,,,,,,,,,,
Kepler-54,Kepler-54 d,0,2017-05-08,3,0.117,,,1.3,0.1,-0.15,,,,0.0,,,89.79,,,,,
Kepler-54,Kepler-54 b,0,2014-11-21,3,0.0618,,,2.33,0.29,-0.3,,,,0.0,,,83.65,,,,,
Kepler-54,Kepler-54 b,0,2024-06-10,3,0.0630024116468544,,,1.856,0.057,-0.057,3.09,0.3,-0.31,0.022,0.02,-0.015,,,,,,
Kepler-176,Kepler-176 c,1,2014-05-14,4,0.102,,,2.6,1.33,-1.33,,,,,,,,,,,,
Kepler-176,Kepler-176 c,0,2016-05-06,4,0.1020140044570556,,,2.54,0.21,-0.15,,,,,,,,,,,,
Kepler-176,Kepler-176 b,0,2016-07-26,4,0.0570682000426948,,,,,,,,,,,,,,,,,
Kepler-176,Kepler-176 c,0,2018-09-04,4,,,,2.482,0.11,-0.204,,,,,,,,,,,,
Kepler-176,Kepler-176 b,0,2013-10-28,4,0.055,,,1.4,1.7,-1.7,,,,0.0,,,86.52,,,,,
Kepler-176,Kepler-176 b,0,2015-08-25,4,0.0568,,,1.41,0.52,-0.14,,,,0.0,,,89.95,,,,,
Kepler-176,Kepler-176 e,0,2014-11-21,4,0.2534,,,1.54,0.55,-0.16,,,,0.0,,,89.38,,,,,
Kepler-176,Kepler-176 d,0,2017-05-08,4,0.1578,,,2.27,0.09,-0.16,,,,0.0,,,89.53,,,,,
HD 158259,HD 158259 b,0,2024-04-07,5,,,,1.282,0.067,-0.067,,,,,,,,,,,,
55 Cnc,55 Cnc c,0,2021-02-05,5,0.24,0.008,-0.008,,,,68.96911,12.7132,-12.7132,0.44,0.08,-0.08,,,,,,
55 Cnc,55 Cnc e,0,2021-02-05,5,0.01544,9e-05,-9e-05,2.08,0.16,-0.17,7.81,0.58,-0.53,0.061,0.065,-0.043,87.3,1.7,-2.1,,,
TOI-776,TOI-776 b,0,2024-03-04,2,0.0699886021840282,,,1.8612791897273488,,,,,,0.06,0.03,-0.02,89.65,0.22,-0.37,,,
HD 219134,HD 219134 c,0,2022-11-07,6,0.0652,0.001,-0.001,1.507,0.074,-0.06,,,,,,,87.304,0.059,-0.059,,,
WASP-53,WASP-53 b,1,2017-01-31,2,0.04101,0.00083,-0.00091,12.038,0.415,-0.415,677.61356,29.24036,-29.87602,0.03,,,87.08,0.16,-0.15,,,
HAT-P-11,HAT-P-11 b,0,2022-01-24,2,0.0525418136373012,,,,,,,,,,,,,,,,,
Kepler-68,Kepler-68 d,0,2019-06-07,4,1.4677845504222418,,,,,,267.0,16.0,-16.0,,,,,,,,,
Kepler-68,Kepler-68 b,0,2019-06-19,4,0.0614093494454581,,,,,,7.65,1.37,-1.32,0.0,,,,,,,,
HD 158259,HD 158259 d,1,2020-04-10,5,0.060251937641126,,,,,,5.41,0.74,-0.71,,,,,,,,,
Kepler-93,Kepler-93 b,0,2014-11-21,2,0.0533,,,1.59,0.04,-0.03,,,,0.0,,,85.94,,,,,
TOI-5398,TOI-5398 c,1,2023-11-06,2,0.057,0.003,-0.003,3.52,0.19,-0.19,11.8,4.8,-4.7,0.14,,,88.4,,,,,
HAT-P-11,HAT-P-11 b,0,2019-12-02,2,,,,,,,,,,,,,,,,106.0,15.0,-11.0
Kepler-68,Kepler-68 b,0,2018-09-25,4,0.0614089919782499,,,,,,,,,,,,,,,,,
55 Cnc,55 Cnc e,0,2021-02-05,5,,,,,,,,,,,,,,,,,,
55 Cnc,55 Cnc e,0,2023-08-07,5,0.016042251863415,,,1.947,0.038,-0.038,8.59,0.43,-0.43,,,,,,,,,
HD 86226,HD 86226 c,0,2024-03-04,2,0.0493670352087437,,,2.15316755773663,,,,,,0.075,0.065,-0.048,86.45,0.26,-0.16,,,
55 Cnc,55 Cnc e,0,2023-09-19,5,,,,,,,,,,,,,,,,,,
55 Cnc,55 Cnc f,0,2021-02-05,5,0.781,0.007,-0.007,,,,45.766,12.713,-12.713,0.2,0.2,-0.2,,,,,,
55 Cnc,55 Cnc e,0,2021-02-05,5,0.01544,9e-05,-9e-05,1.91,0.08,-0.08,8.08,0.31,-0.31,,,,83.3,0.9,-0.8,,,
55 Cnc,55 Cnc e,0,2022-08-08,5,,,,1.915,0.214,-0.214,,,,,,,,,,,,
Kepler-176,Kepler-176 c,0,2016-07-26,4,0.100827701496438,,,,,,,,,,,,,,,,,
Kepler-58,Kepler-58 c,0,2016-07-26,4,0.1228561072320544,,,,,,,,,,,,,,,,,
Kepler-54,Kepler-54 d,0,2016-07-26,3,0.119773156839449,,,,,,,,,,,,,,,,,
Kepler-176,Kepler-176 d,0,2016-07-26,4,0.1610313160245471,,,,,,,,,,,,,,,,,
Kepler-54,Kepler-54 c,0,2024-06-10,3,0.0828082633330883,,,1.688,0.054,-0.055,2.1,0.2,-0.21,,,,,,,,,
Kepler-58,Kepler-58 b,1,2021-09-22,4,0.090594163573512,,,2.78,,,35.5,,,,,,,,,,,
Kepler-26,Kepler-26 b,0,2017-05-08,4,0.0847,,,2.83,0.16,-0.22,,,,0.0,,,89.93,,,,,
Kepler-176,Kepler-176 b,0,2018-09-25,4,0.057068224761503,,,,,,,,,,,,,,,,,
Kepler-176,Kepler-176 d,0,2016-05-06,4,0.1629251730306944,,,2.72,0.22,-0.42,,,,,,,,,,,,
Kepler-26,Kepler-26 c,0,2014-11-18,4,0.1071,,,2.82,0.42,-0.43,,,,0.0,,,88.81,,,,,
Kepler-52,Kepler-52 d,0,2015-08-25,3,0.1774,,,1.8,0.23,-0.23,,,,0.0,,,89.95,,,,,
Kepler-26,Kepler-26 e,0,2016-03-02,4,0.3290975239462415,,,1.92,0.44,-0.38,,,,,,,,,,,,
Kepler-26,Kepler-26 e,0,2018-09-25,4,0.2257540098386078,,,,,,,,,,,,,,,,,
Kepler-60,Kepler-60 c,0,2014-11-21,3,0.0871,,,2.11,1.17,-0.54,,,,0.0,,,87.09,,,,,
Kepler-60,Kepler-60 d,0,2018-09-25,3,0.1043254639355147,,,,,,,,,,,,,,,,,
Kepler-54,Kepler-54 d,1,2014-05-14,3,0.126,,,1.53,0.08,-0.08,,,,,,,,,,,,
Kepler-54,Kepler-54 d,0,2015-08-25,3,0.1175,,,1.38,0.18,-0.17,,,,0.0,,,89.95,,,,,
Kepler-58,Kepler-58 e,0,2014-11-21,4,0.0533,,,1.58,0.71,-0.19,,,,0.0,,,87.09,,,,,
Kepler-54,Kepler-54 b,1,2021-09-20,3,0.0626008480023037,,,2.1,,,,,,,,,,,,,,
Kepler-176,Kepler-176 e,0,2018-09-04,4,,,,1.452,0.27,-0.221,,,,,,,,,,,,
Kepler-52,Kepler-52 c,0,2016-02-10,3,,,,2.196,0.117,-0.117,,,,,,,,,,,,
Kepler-52,Kepler-52 c,0,2024-06-10,3,0.1076318677779805,,,2.122,0.093,-0.092,,,,0.012,0.018,-0.009,,,,,,
Kepler-52,Kepler-52 c,0,2015-11-18,3,0.1087982807062971,,,1.9,0.27,-0.26,,,,,,,,,,,,
Kepler-52,Kepler-52 d,0,2016-05-06,3,0.1873020675873665,,,2.14,0.09,-0.08,,,,,,,,,,,,
