hostname,pl_name,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag,pl_relincl,pl_relinclerr1,pl_relinclerr2
TOI-451,TOI-451 c,2021-01-21,3,0.08231965656784579,0.0033,-0.0036,10.69820025939796,5.5415922090945955,-3.907530898533821,0.0,0.0,0.0,89.61,0.27,-0.36,-0.35999999999999943,0.2827649200307563,-0.3736308338453881,01+1-2+-5+-,-0.35999999999999943,0.2827649200307563,-0.3736308338453881
HD 62364,HD 62364 b,2023-06-27,2,6.324,0.085,-0.086,5757.461595,361.68873,-259.03015500000004,0.6095999999999999,0.0046,-0.005,57.6815,1.9,-1.85,-18.8925,4.581545699870295,-4.0484195681771915,05+-,-18.8925,4.581545699870295,-4.0484195681771915
HIP 67851,HIP 67851 b,2023-06-14,2,0.46,0.015,-0.015,448.1327,35.12016,-35.279075,0.0765,0.04,-0.04,89.863,28.378,-24.73,0.0,40.13255247302369,-34.97350139748664,03+-5+-,0.0,40.13255247302369,-34.97350139748664
HIP 67851,HIP 67851 c,2023-06-12,2,3.857969002224788,0.23,-0.23,1951.4117,241.5508,-174.8,0.185,0.06,-0.06,89.863,28.378,-24.73,0.0,40.13255247302369,-34.97350139748664,05+-,0.0,40.13255247302369,-34.97350139748664
HD 169830,HD 169830 c,2023-06-12,2,3.288422898026514,0.04,-0.05,1283.98,326.886515,-432.246635,0.246,0.02,-0.019,91.2345,8.8695,-8.1025,0.0,12.543367191468167,-11.458665389128003,05+-,0.0,12.543367191468167,-11.458665389128003
K2-229,K2-229 b,2022-03-28,2,0.012888,6.5e-05,-6.5e-05,2.54,0.425,-0.43,0.0,0.0,0.0,83.9,4.0,-4.0,4.234499999999997,4.060186233413438,-4.31672665337985,01+1-5+-,4.234499999999997,4.060186233413438,-4.31672665337985
Kepler-338,Kepler-338 e,2014-05-28,4,0.09,0.0,0.0,8.5,7.2,-6.3,0.0,0.23,-0.05,81.93,0.0,0.0,7.449999999999989,0.0,-0.0,03+3-4+4-5+-,7.449999999999989,0.0,-0.0
K2-229,K2-229 c,2022-06-08,2,0.0769,0.00053,-0.00053,21.3,0.0,0.0,0.0,0.0,0.0,88.1345,0.6965,-1.623,0.0,0.9849997461928607,-2.2952686117315335,01+1-2+2-5+-,0.0,0.9849997461928607,-2.2952686117315335
K2-224,K2-224 b,2022-06-08,2,0.04977085879517133,0.0004,-0.0004,3.8174410077304533,2.0721720818305442,-1.3610011603212366,0.31066330191540814,0.0,0.0,87.86,1.527,-2.821,0.8160000000000025,1.7868724073083673,-3.2284579910539337,01+-2+-5+-,0.8160000000000025,1.7868724073083673,-3.2284579910539337
GJ 328,GJ 328 b,2023-07-10,2,4.305,0.18,-0.19,764.37465,57.21026500000001,-57.21026500000001,0.2985,0.0325,-0.0325,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
HD 219134,HD 219134 g,2015-11-18,6,0.3753,0.0004,-0.0004,10.80622,1.27132,-1.27132,0.0,0.0,0.0,85.05,0.09,-0.09,0.0,0.12727922061357855,-0.12727922061357855,01+1-3+-5+-,0.0,0.12727922061357855,-0.12727922061357855
WASP-148,WASP-148 b,2022-10-03,2,0.0825968185529867,0.0015300000000000001,-0.00185,92.48853,7.94575,-7.94575,0.208,0.063,-0.063,89.3,0.27,-0.27,15.600000000000009,4.607917099948739,-7.3049914442112795,05+-,15.600000000000009,4.607917099948739,-7.3049914442112795
HD 22946,HD 22946 b,2023-07-10,3,0.055035,0.001925,-0.00191,13.71,0.0,0.0,0.126,0.19,-0.009,88.3,1.1,-1.2,0.0,1.5556349186104046,-1.697056274847714,02+2-5+-,0.0,1.5556349186104046,-1.697056274847714
HD 22946,HD 22946 c,2023-07-10,3,0.0978,0.00345,-0.0034000000000000002,9.72,0.0,0.0,0.16,0.17,-0.1,88.57,0.86,-0.53,-0.269999999999996,1.396280774056565,-1.3118307817702708,02+2-5+-,-0.269999999999996,1.396280774056565,-1.3118307817702708
HD 22946,HD 22946 d,2023-07-10,3,0.2958,0.0044,-0.0042,26.57,0.0,0.0,0.20543615100312596,0.0,0.0,88.3,1.1,-1.2,0.0,1.5556349186104046,-1.697056274847714,01+-2+2-3+-5+-,0.0,1.5556349186104046,-1.697056274847714
OGLE-2019-BLG-0468L,OGLE-2019-BLG-0468L b,2023-02-07,2,3.29,4.155,-2.525,1055.190315,562.55628,-360.73524499999996,0.31066330191540814,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+-3+-5+-,0.0,0.0,-0.0
OGLE-2019-BLG-0468L,OGLE-2019-BLG-0468L c,2023-02-07,2,4.045,5.1,-3.1,3235.493185,1728.986535,-1107.631995,0.31066330191540814,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+-3+-5+-,0.0,0.0,-0.0
Kepler-424,Kepler-424 c,2014-10-03,2,0.73,0.08,-0.07,2215.18,197.05,-197.05,0.31066330191540814,0.0,0.0,85.37,0.79,-0.79,0.0,1.1172287142747452,-1.1172287142747452,01+-3+-5+-,0.0,1.1172287142747452,-1.1172287142747452
Kepler-46,Kepler-46 d,2014-05-14,3,0.0672,0.0,0.0,5.267415951660179,2.0076033389635652,-1.2742316694950198,0.0,0.0,0.0,87.66,0.0,0.0,1.5700000000000074,0.10750000000000001,-0.10350000000000001,01+1-2+-3+3-4+4-5+-,1.5700000000000074,0.10750000000000001,-0.10350000000000001
K2-348,K2-348 c,2021-08-23,2,0.09672739379438239,0.0,0.0,7.646025710770761,2.2446891088025964,-1.803114771515915,0.31066330191540814,0.0,0.0,90.0,0.0,0.0,0.0,0.0,-0.0,01+-2+-3+-4+4-5+-,0.0,0.0,-0.0
AU Mic,AU Mic d,2023-11-28,3,0.08527313537331374,0.0,0.0,1.053,0.511,-0.511,0.00305,0.00104,-0.00104,89.318,1.158,-1.158,0.18200000000000216,1.2212731062297244,-1.2212731062297244,04+4-5+-,0.18200000000000216,1.2212731062297244,-1.2212731062297244
AU Mic,AU Mic b,2022-05-09,3,0.06450759780894419,0.0013,-0.0013,17.05,4.7,-4.5,0.04,0.045,-0.035,89.5,0.388,-0.388,0.0,0.5487148622007609,-0.5487148622007609,05+-,0.0,0.5487148622007609,-0.5487148622007609
AU Mic,AU Mic c,2022-05-09,3,0.1101,0.0021000000000000003,-0.0021000000000000003,13.899999999999999,5.75,-5.1,0.02219,0.047,-0.026,89.227,0.4,-0.38,0.27299999999999613,0.5572647485710899,-0.5430874699346322,05+-,0.27299999999999613,0.5572647485710899,-0.5430874699346322
Kepler-432,Kepler-432 c,2015-04-30,2,1.1774766542404802,0.0,0.0,772.3269,69.9226,-76.2792,0.498,0.029,-0.059,89.86,0.61,-0.33,0.0,0.8626702730475879,-0.4666904755831214,03+-4+4-5+-,0.0,0.8626702730475879,-0.4666904755831214
Kepler-1656,Kepler-1656 c,2022-05-24,2,3.053,0.049,-0.049,126.4,28.9,-28.9,0.527,0.05,-0.054,89.95,0.47,-0.51,0.0,0.6646803743153546,-0.7212489168102785,03+-5+-,0.0,0.6646803743153546,-0.7212489168102785
Kepler-1972,Kepler-1972 b,2023-03-28,2,0.07929686854018839,0.0,0.0,2.02,0.56,-0.62,0.0,0.071,-0.04,83.08,0.73,-0.49,6.299999999999997,0.7495331880577404,-0.5255473337388366,04+4-5+-,6.299999999999997,0.7495331880577404,-0.5255473337388366
Kepler-424,Kepler-424 b,2014-10-03,2,0.04244342124389319,0.002885,-0.002405,334.66754000000003,35.91584,-35.28018,0.0,0.0,0.0,85.37,0.79,-0.79,0.0,1.1172287142747452,-1.1172287142747452,01+1-5+-,0.0,1.1172287142747452,-1.1172287142747452
HD 106315,HD 106315 b,2019-07-19,2,0.0905,0.000915,-0.000965,12.6,3.2,-3.2,0.2015,0.11,-0.068,88.01,1.0915,-1.27,0.5999999999999943,1.1624853762521057,-1.2943724348115577,05+-,0.5999999999999943,1.1624853762521057,-1.2943724348115577
HD 204313,HD 204313 c,2023-06-14,3,0.21045,0.00805,-0.00855,17.381365000000002,1.6445699999999999,-1.6445699999999999,0.107,0.061,-0.055999999999999994,118.046,10.9815,-15.561,0.0,15.530186235200144,-22.006577244087733,03+-5+-,0.0,15.530186235200144,-22.006577244087733
HD 104067,HD 104067 b,2024-04-05,2,0.2658,0.0032,-0.0033,60.542500000000004,4.84504,-4.84504,0.0615,0.064,-0.0665,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
HD 104067,HD 104067 c,2024-04-05,2,0.1058,0.0013,-0.0013,13.2,1.9,-1.9,0.29,0.12,-0.13,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
Kepler-450,Kepler-450 b,2015-05-21,3,0.19630924439354336,0.0,0.0,19.4,11.1,-6.8,0.0,0.14,-0.02,89.95,0.0,0.0,0.0,0.0,-0.0,03+3-4+4-5+-,0.0,0.0,-0.0
TOI-712,TOI-712 d,2022-08-29,3,0.3405,0.0041,-0.0039,6.054219942205103,1.939198431799741,-1.4243733211313048,0.073,0.064,-0.049,89.817,0.11,-0.066,-0.03699999999999193,0.17804493814764857,-0.1282809416865966,02+-5+-,-0.03699999999999193,0.17804493814764857,-0.1282809416865966
TOI-904,TOI-904 c,2024-03-04,2,0.312,0.023,-0.058,6.157464233247556,2.4938318590562814,-1.8084420490776232,0.31066330191540814,0.0,0.0,89.83,0.13,-0.2,-1.6400000000000006,1.2666885963013956,-0.8985410396860012,01+-2+-5+-,-1.6400000000000006,1.2666885963013956,-0.8985410396860012
HD 204313,HD 204313 e,2023-06-12,3,12.6785,3.7495,-2.7135,5596.481505,2684.060895,-2206.2058850000003,0.2215,0.1505,-0.0975,118.046,10.9815,-15.561,0.0,15.530186235200144,-22.006577244087733,05+-,0.0,15.530186235200144,-22.006577244087733
HD 73267,HD 73267 b,2023-06-12,2,2.1965,0.0245,-0.025,1152.925015,118.220575,-92.47647,0.2585,0.00705,-0.006999999999999999,86.4215,13.307,-8.83,-2.997,19.52859692860703,-22.31989921572228,05+-,-2.997,19.52859692860703,-22.31989921572228
HD 73267,HD 73267 c,2023-06-12,2,11.844000000000001,1.5655000000000001,-1.5060000000000002,1514.611275,415.0839,-219.61943,0.1115,0.0715,-0.058499999999999996,83.4245,14.293,-20.499000000000002,0.0,20.213354446998647,-28.989963815086078,05+-,0.0,20.213354446998647,-28.989963815086078
Kepler-18,Kepler-18 c,2019-03-01,3,0.07411113529086173,0.0011,-0.0011,18.4,2.7,-1.9,0.0,0.0,0.0,89.93,0.22,-0.22,0.0,0.3111269837220809,-0.3111269837220809,01+1-5+-,0.0,0.3111269837220809,-0.3111269837220809
HAT-P-17,HAT-P-17 b,2018-04-25,2,0.08828447048210561,0.00135,-0.0014,177.508055,5.879385,-5.879385,0.342,0.006,-0.006,89.2,0.2,-0.1,0.0,0.28284271247461906,-0.14142135623730953,05+-,0.0,0.28284271247461906,-0.14142135623730953
TOI-4010,TOI-4010 c,2023-06-27,4,0.058,0.001,-0.001,20.31,2.13,-2.11,0.03,0.03,-0.02,88.8,0.6,-0.3,0.20000000000000284,0.6082762530298219,-0.31622776601683794,05+-,0.20000000000000284,0.6082762530298219,-0.31622776601683794
K2-266,K2-266 b,2022-10-31,4,0.01306,0.0002,-0.00021,11.26782,11.3712,-11.3712,0.15319315421743498,0.0,0.0,75.32,0.62,-0.7,14.13000000000001,0.6685057965343307,-0.7227724399837061,01+-5+-,14.13000000000001,0.6685057965343307,-0.7227724399837061
TOI-451,TOI-451 d,2021-01-21,3,0.1208858373829782,0.0048,-0.0052,19.652259695510352,7.810577958350805,-6.12915891014851,0.0,0.0,0.0,89.25,0.084,-0.1,0.0,0.11879393923934,-0.14142135623730953,01+1-2+-5+-,0.0,0.11879393923934,-0.14142135623730953
TOI-700,TOI-700 b,2023-01-18,4,0.0677,0.0011,-0.0011,0.8511599920143542,0.28072218800278037,-0.229753799693864,0.075,0.093,-0.054,89.66,0.24,-0.29,-0.7759999999999962,0.25346054919848965,-0.30675723300355934,02+-5+-,-0.7759999999999962,0.25346054919848965,-0.30675723300355934
TOI-904,TOI-904 b,2024-03-04,2,0.056,0.019,-0.012,6.9149734458519525,2.011889198327898,-1.601471135617496,0.31066330191540814,0.0,0.0,88.19,1.26,-0.876,0.0,1.7819090885900999,-1.2388510806388313,01+-2+-5+-,0.0,1.7819090885900999,-1.2388510806388313
WASP-84,WASP-84 c,2023-07-10,2,0.02359,0.001,-0.001,15.2,4.5,-4.2,0.31066330191540814,0.0,0.0,83.2,0.51,-0.49,17.3,7.7,-7.7,01+-5+-,5.167999999999992,0.5124451190127582,-0.49254441424099005
TOI-125,TOI-125 c,2020-02-06,3,0.08166685556975645,0.00135,-0.0013,6.63,0.99,-0.99,0.066,0.07,-0.047,88.54,0.41,-0.19,0.25499999999999545,0.4477722635447622,-0.21470910553583888,05+-,0.25499999999999545,0.4477722635447622,-0.21470910553583888
KELT-6,KELT-6 c,2015-09-02,2,2.39,0.11,-0.11,1179.1493,66.7443,-66.7443,0.21,0.039,-0.036,88.81,0.79,-0.91,0.0,1.1172287142747452,-1.2869343417595165,03+-5+-,0.0,1.1172287142747452,-1.2869343417595165
TOI-1749,TOI-1749 d,2021-07-26,3,0.0707,0.0012,-0.0012,15.0,0.0,0.0,0.062,0.0,0.0,88.53,0.11,-0.09,-2.1299999999999955,0.906697303403953,-0.6067124524847005,01+1-2+2-5+-,-2.1299999999999955,0.906697303403953,-0.6067124524847005
HD 109271,HD 109271 c,2014-05-14,2,0.196,0.003,-0.003,24.154,2.225,-2.225,0.15,0.09,-0.09,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
Kepler-450,Kepler-450 d,2015-05-21,3,0.08079907837886091,0.0,0.0,17.6,9.5,-6.7,0.0,0.24,-0.14,88.81,0.0,0.0,1.1400000000000006,0.0,-0.0,03+3-4+4-5+-,1.1400000000000006,0.0,-0.0
Kepler-30,Kepler-30 c,2023-11-28,3,0.2998,0.0,0.0,1121.9,50.0,-50.0,0.0,0.001,-0.001,89.95,0.03,-0.03,0.0,0.03605551275463989,-0.03605551275463989,04+4-5+-,0.0,0.03605551275463989,-0.03605551275463989
HIP 57274,HIP 57274 c,2015-04-24,3,0.178,0.0,0.0,130.0,3.0,-3.0,0.05,0.02,-0.02,90.0,0.0,0.0,0.0,0.0,-0.0,03+-4+4-5+-,0.0,0.0,-0.0
Kepler-105,Kepler-105 b,2014-05-14,2,0.0621,0.003,-0.003,5.1,6.3,-4.1,0.0,0.05,-0.47,88.24,1.87,-3.88,0.0,2.644579361637688,-5.4871486220076084,05+-,0.0,2.644579361637688,-5.4871486220076084
Kepler-9,Kepler-9 c,2019-07-08,3,0.22709993410009985,0.006500000000000001,-0.0045000000000000005,29.9,2.9659999999999997,-3.2159999999999997,0.0,0.00055,-0.0005600000000000001,89.38,0.005,-0.006,28.1,13.0,-13.6,05+-,0.0,0.1335936001461148,-0.13263577948653224
Kepler-9,Kepler-9 d,2014-05-14,3,0.027,0.00042,-0.00043,8.41466,4.18941,-4.18941,0.0,0.0,0.0,89.38,0.0,0.0,28.1,13.0,-13.6,01+1-3+3-5+-,0.0,0.1335,-0.1325
V1298 Tau,V1298 Tau b,2019-10-18,4,0.1688,0.0026,-0.0026,203.41018,60.3874,-60.3874,0.134,0.10400000000000001,-0.079,88.87950000000001,0.41,-0.24,8.0,4.0,-7.0,0,0.32049999999999557,0.4854894437575342,-0.3
TOI-4342,TOI-4342 b,2023-02-07,2,0.05251,0.00011,-0.00011,6.275856455887395,3.6566587636259023,-2.590319120650896,0.31066330191540814,0.0,0.0,89.13,0.15,-0.13,0.5,0.19209372712298547,-0.17691806012954134,01+-2+-5+-,0.5,0.19209372712298547,-0.17691806012954134
GJ 367,GJ 367 c,2023-08-07,3,0.07710378688218347,0.0,0.0,4.13,0.36,-0.36,0.09,0.07,-0.07,80.32,0.755,-0.745,0.0,1.0677312395916867,-1.053589103967956,03+-4+4-5+-,0.0,1.0677312395916867,-1.053589103967956
GJ 367,GJ 367 d,2023-08-07,3,0.15969755117801473,0.0,0.0,6.03,0.49,-0.49,0.14,0.09,-0.09,80.32,0.755,-0.745,0.0,1.0677312395916867,-1.053589103967956,03+-4+4-5+-,0.0,1.0677312395916867,-1.053589103967956
TOI-2134,TOI-2134 c,2023-11-28,2,0.371,0.004,-0.004,41.89,7.69,-7.83,0.67,0.05,-0.06,89.49,0.37,-0.37,0.0,0.5232590180780452,-0.5232590180780452,03+-5+-,0.0,0.5232590180780452,-0.5232590180780452
Kepler-48,Kepler-48 c,2016-10-26,5,0.08514604860665866,0.0,0.0,12.34614,3.27306,-3.27306,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-57,Kepler-57 c,2024-06-10,2,0.0961,0.0,0.0,7.4,5.46,-3.8649999999999998,0.0,0.007,-0.0062,79.64,0.0,0.0,7.450000000000003,0.0,-0.0,03+3-4+4-5+-,7.450000000000003,0.0,-0.0
Kepler-113,Kepler-113 c,2016-10-12,2,0.07650603792882557,0.0,0.0,4.877644999999999,3.28389,-3.28389,0.0,0.0,0.0,87.09,0.0,0.0,2.289999999999992,0.0,-0.0,01+1-3+3-4+4-5+-,2.289999999999992,0.0,-0.0
Kepler-113,Kepler-113 b,2014-05-14,2,0.05027216492181831,0.0,0.0,9.61374,3.787315,-3.787315,0.0,0.0,0.0,89.38,0.0,0.0,0.0,0.0,-0.0,01+1-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-48,Kepler-48 d,2014-05-14,5,0.22981258727330048,0.0,0.0,8.410425,5.125945,-5.125945,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-131,Kepler-131 b,2014-05-14,2,0.126,0.0,0.0,11.492505,3.584995,-3.584995,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-406,Kepler-406 b,2014-05-14,2,0.0359,0.0,0.0,5.84099,1.581945,-1.581945,0.0,0.0,0.0,88.81,0.0,0.0,0.0,0.0,-0.0,01+1-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-407,Kepler-407 b,2016-10-12,2,0.0149745090004444,0.0,0.0,2.434525,0.8227,-0.8227,0.0,0.0,0.0,87.09,0.0,0.0,0.0,0.0,-0.0,01+1-3+3-4+4-5+-,0.0,0.0,-0.0
LP 890-9,LP 890-9 c,2022-09-14,2,0.03984,0.00022,-0.00022,25.3,0.0,0.0,0.31066330191540814,0.0,0.0,89.287,0.026,-0.047,0.0,0.03676955262170047,-0.06646803743153547,01+-2+2-5+-,0.0,0.03676955262170047,-0.06646803743153547
TOI-1470,TOI-1470 c,2023-08-07,2,0.106,0.001,-0.001,7.24,2.87,-2.77,0.5,0.0,0.0,89.47,0.03,-0.03,-2.049999999999997,0.12369316876852982,-0.12369316876852982,01+1-5+-,-2.049999999999997,0.12369316876852982,-0.12369316876852982
Kepler-85,Kepler-85 b,2024-06-10,4,0.07917683685019616,0.0,0.0,1.84,0.6,-0.47,0.0,0.028,-0.016,83.08,0.0,0.0,4.579999999999998,0.0,-0.0,03+3-4+4-5+-,4.579999999999998,0.0,-0.0
TOI-1246,TOI-1246 d,2024-07-22,4,0.1315,0.0035,-0.0035,5.35,1.7999999999999998,-1.7999999999999998,0.0,0.0,0.0,89.5,0.2,-0.2,-0.20000000000000284,0.223606797749979,-0.223606797749979,01+1-5+-,-0.20000000000000284,0.223606797749979,-0.223606797749979
HD 63433,HD 63433 d,2024-01-05,3,0.0503,0.0025,-0.0027,1.1537160738255414,0.22006921611877606,-0.1965957845311398,0.16,0.36,-0.12,88.73,0.85,-1.06,0.6499999999999915,0.9525754563287886,-1.2382245353731285,02+-5+-,0.6499999999999915,0.9525754563287886,-1.2382245353731285
TOI-663,TOI-663 b,2024-06-25,3,0.0295,0.0011,-0.0011,4.45,0.63,-0.66,0.20543615100312596,0.0,0.0,89.14,0.57,-0.6,0.45999999999999375,0.6307138812488592,-0.6997142273814361,01+-5+-,0.45999999999999375,0.6307138812488592,-0.6997142273814361
TOI-663,TOI-663 c,2024-06-25,3,0.0437,0.0016,-0.0016,3.65,0.97,-0.97,0.20543615100312596,0.0,0.0,89.3,0.41,-0.35,0.29999999999999716,0.4909175083453431,-0.5020956084253276,01+-5+-,0.29999999999999716,0.4909175083453431,-0.5020956084253276
TOI-663,TOI-663 d,2024-06-25,3,0.0576,0.0021,-0.0022,5.2,0.0,0.0,0.20543615100312596,0.0,0.0,89.6,0.27,-0.36,0.0,0.3818376618407357,-0.5091168824543142,01+-2+2-5+-,0.0,0.3818376618407357,-0.5091168824543142
Kepler-186,Kepler-186 c,2014-05-14,5,0.05814710408464868,0.004615,-0.004615,1.9978407253593091,0.9093697695373577,-0.719760959927267,0.0,0.0,0.0,89.38,0.0,0.0,-1.7199999999999989,0.0,-0.0,01+1-2+-3+3-5+-,-1.7199999999999989,0.0,-0.0
Kepler-49,Kepler-49 d,2014-05-14,4,0.03,0.00114,-0.00114,3.97591401170668,1.6838843136418364,-1.5377319684592718,0.0,0.0,0.0,89.38,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-5+-,0.0,0.0,-0.0
Kepler-28,Kepler-28 c,2024-06-10,2,0.07253,0.00384,-0.00384,10.9,3.4,-2.51,0.0,0.023,-0.014,87.09,0.0,0.0,0.0,0.0,-0.0,03+3-5+-,0.0,0.0,-0.0
Kepler-36,Kepler-36 c,2020-05-01,2,0.1284,0.0016,-0.0016,8.08,0.6,-0.46,0.0,0.0,0.0,86.52,0.495,-0.41000000000000003,0.0,0.7000357133746821,-0.579827560572969,01+1-5+-,0.0,0.7000357133746821,-0.579827560572969
HD 63433,HD 63433 c,2024-07-23,3,0.1459,0.0062,-0.0077,17.2,10.3,-9.3,0.0,0.33,-0.14,89.147,0.069,-0.2,0.23299999999998988,0.435500861078368,-0.6705221845696084,05+-,0.23299999999998988,0.435500861078368,-0.6705221845696084
HD 191939,HD 191939 c,2022-11-14,6,0.1752,0.00425,-0.004,7.2,1.3,-1.3,0.0,0.034,-0.013,89.112,0.0755,-0.0885,-0.41199999999999193,0.7040598341050283,-0.7055722854534466,05+-,-0.41199999999999193,0.7040598341050283,-0.7055722854534466
Kepler-128,Kepler-128 b,2024-06-10,2,0.12628580714107618,0.0,0.0,17.245,3.38,-3.33,0.0,0.0,0.0,89.95,0.0,0.0,-1.1400000000000006,0.0,-0.0,01+1-3+3-4+4-5+-,-1.1400000000000006,0.0,-0.0
Kepler-432,Kepler-432 b,2015-04-30,2,0.30345,0.0089,-0.0089,1547.77,101.7056,-57.2094,0.0,0.0098,-0.0089,89.86,0.61,-0.33,0.0,0.8626702730475879,-0.4666904755831214,05+-,0.0,0.8626702730475879,-0.4666904755831214
HD 191939,HD 191939 b,2022-11-14,6,0.0804,0.0022500000000000003,-0.00215,10.0,0.9,-0.9,0.0,0.01,-0.011,88.14,0.175,-0.155,0.5600000000000023,0.7215434844830905,-0.7169553682064177,05+-,0.5600000000000023,0.7215434844830905,-0.7169553682064177
Kepler-20,Kepler-20 d,2023-04-17,6,0.3474,0.0067,-0.0067,13.17338,3.97,-3.7,0.0,0.0,0.0,89.824,0.165,-0.053,0.0,0.2333452377915607,-0.07495331880577404,01+1-5+-,0.0,0.2333452377915607,-0.07495331880577404
Kepler-37,Kepler-37 d,2023-04-17,4,0.2121,0.0023,-0.0026,12.2,55.4,-40.8,0.0,0.07,-0.1,89.95,0.043,-0.047,0.0,0.06081118318204308,-0.06646803743153547,05+-,0.0,0.06081118318204308,-0.06646803743153547
HD 42813,HD 42813 d,2023-09-05,3,0.0649,0.0009,-0.001,5.1,0.4,-0.4,0.20543615100312596,0.0,0.0,88.9,0.7,-0.8,0.3999999999999915,0.8062257748298549,-0.8544003745317532,01+-5+-,0.3999999999999915,0.8062257748298549,-0.8544003745317532
Kepler-9,Kepler-9 b,2019-07-08,3,0.14206279054059456,0.004,-0.0035,43.541,2.7,-3.3,0.0,0.001,-0.0013,89.38,0.1335,-0.1325,28.1,13.0,-13.6,0,0.0,0.1887975105768082,-0.1873832970144351
TOI-270,TOI-270 c,2021-08-03,3,0.0472,0.001655,-0.001805,6.15,0.37,-0.37,0.0135,0.021,-0.021,89.53,0.3,-0.42,0.0,0.4242640687119285,-0.5939696961966999,05+-,0.0,0.4242640687119285,-0.5939696961966999
Kepler-24,Kepler-24 c,2024-06-10,4,0.10376840936477832,0.0,0.0,33.6,7.505,-5.58,0.0,0.011,-0.011,77.35,0.0,0.0,0.0,0.0,-0.0,03+3-4+4-5+-,0.0,0.0,-0.0
LHS 1678,LHS 1678 c,2024-03-25,3,0.0329,0.0015500000000000002,-0.0015,1.4,0.0,0.0,0.1295,0.04,-0.025,88.955,0.485,-0.36,-0.644999999999996,0.5048019413591829,-0.38275318418009274,02+2-5+-,-0.644999999999996,0.5048019413591829,-0.38275318418009274
LHS 1678,LHS 1678 d,2024-03-25,3,0.04,0.0018,-0.0017,3.3396011041356646,5.38176071282811,-2.840490124684459,0.036,0.06,-0.027,88.31,0.14,-0.13,0.0,0.19798989873223333,-0.18384776310850237,02+-5+-,0.0,0.19798989873223333,-0.18384776310850237
Kepler-94,Kepler-94 c,2014-05-14,2,1.5977121883516658,0.0,0.0,2974.955565,118.64804000000001,-118.64804000000001,0.345931,0.000239,-0.000239,87.66,0.0,0.0,0.0,0.0,-0.0,03+-4+4-5+-,0.0,0.0,-0.0
Kepler-97,Kepler-97 c,2014-05-14,2,1.6369233183914371,0.0,0.0,344.0,0.0,0.0,0.31066330191540814,0.0,0.0,81.93,0.0,0.0,0.0,0.0,-0.0,01+-2+2-3+-4+4-5+-,0.0,0.0,-0.0
Kepler-407,Kepler-407 c,2014-05-14,2,3.6708619327058782,0.0,0.0,3762.2049150000003,1007.844545,-1007.844545,0.221479,0.000308,-0.000308,87.09,0.0,0.0,0.0,0.0,-0.0,03+-4+4-5+-,0.0,0.0,-0.0
WASP-107,WASP-107 b,2020-12-10,2,0.05521238936227052,0.0013,-0.0013,37.980685,3.1783,-3.1783,0.0,0.04,-0.04,89.63,0.14,-0.14,109.81,28.17,-13.64,0,0.0,0.19798989873223333,-0.19798989873223333
Kepler-51,Kepler-51 d,2014-05-14,3,0.5109365823448384,0.02,-0.02,6.2,1.12,-1.12,0.0,0.010499999999999999,-0.009000000000000001,89.95,0.06,-0.08,0.0,0.08485281374238571,-0.1131370849898476,05+-,0.0,0.08485281374238571,-0.1131370849898476
TOI-1246,TOI-1246 b,2022-05-03,4,0.049,0.002,-0.002,8.1,1.1,-1.1,0.15319315421743498,0.0,0.0,87.9,0.4,-0.4,1.3999999999999915,0.4123105625617661,-0.4123105625617661,01+-5+-,1.3999999999999915,0.4123105625617661,-0.4123105625617661
TOI-178,TOI-178 c,2021-03-12,6,0.037,0.0011,-0.0011,4.77,0.55,-0.68,0.10130392540225952,0.0,0.0,88.4,1.1,-1.6,0.3229999999999933,1.1022889820732131,-1.6014871213968598,01+-5+-,0.3229999999999933,1.1022889820732131,-1.6014871213968598
TOI-2076,TOI-2076 d,2024-07-22,3,0.1539,0.004,-0.004,29.0,0.0,0.0,0.0,0.0,0.0,88.607,0.036,-0.037,1.233000000000004,0.1252836781069266,-0.12557467897629682,01+1-2+2-5+-,1.233000000000004,0.1252836781069266,-0.12557467897629682
