hostname,pl_name,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag,pl_relincl,pl_relinclerr1,pl_relinclerr2
HIP 5158,HIP 5158 b,2019-09-04,2,0.89,0.015,-0.015,451.0,111.2405,-111.2405,0.52,0.08,-0.08,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
HD 20794,HD 20794 b,2015-08-26,4,0.12385,0.0015,-0.0015,2.76,0.2,-0.55,0.135,0.04,-0.22,90.0,0.0,0.0,0.0,0.0,-0.0,03+3-5+-,0.0,0.0,-0.0
HD 20794,HD 20794 c,2015-08-26,4,0.2143,0.0027,-0.0031999999999999997,2.46,0.46,-0.615,0.085,0.1,-0.16,90.0,0.0,0.0,0.0,0.0,-0.0,03+3-5+-,0.0,0.0,-0.0
HD 20794,HD 20794 d,2015-08-26,4,0.35695,0.0049499999999999995,-0.0049499999999999995,4.16,0.59,-0.8049999999999999,0.125,0.16,-0.21,90.0,0.0,0.0,0.0,0.0,-0.0,03+3-5+-,0.0,0.0,-0.0
HD 20794,HD 20794 e,2017-06-06,4,0.509,0.006,-0.006,4.77,0.96,-0.86,0.29,0.14,-0.18,90.0,0.0,0.0,0.0,0.0,-0.0,03+-5+-,0.0,0.0,-0.0
Kepler-370,Kepler-370 c,2014-05-14,2,0.13876301573821875,0.0,0.0,4.874403650547283,2.9037887880723714,-2.333855095271757,0.0,0.0,0.0,89.38,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-400,Kepler-400 b,2014-05-14,2,0.0869,0.0,0.0,3.8498360093650854,2.838402849723149,-2.4047704894568174,0.0,0.0,0.0,89.38,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-221,Kepler-221 b,2014-05-14,4,0.0365,0.0,0.0,3.4525348608923743,2.0956648623637513,-1.3462881633124582,0.0,0.0,0.0,88.81,0.0,0.0,0.5699999999999932,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.5699999999999932,0.0,-0.0
Kepler-367,Kepler-367 c,2014-05-14,2,0.2542,0.0,0.0,2.1078990260395725,0.7484174925637808,-0.5948595777673371,0.0,0.0,0.0,88.81,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-393,Kepler-393 c,2014-05-14,2,0.12734053813817084,0.0,0.0,2.4467990087848173,2.486726708381618,-1.6514688262086294,0.0,0.0,0.0,89.95,0.0,0.0,-1.710000000000008,0.0,-0.0,01+1-2+-3+3-4+4-5+-,-1.710000000000008,0.0,-0.0
Kepler-304,Kepler-304 c,2014-05-14,4,0.054159619665242464,0.0,0.0,6.975484835347771,4.401448607208058,-2.9874021408580407,0.0,0.0,0.0,89.95,0.0,0.0,-1.710000000000008,0.0,-0.0,01+1-2+-3+3-4+4-5+-,-1.710000000000008,0.0,-0.0
Kepler-360,Kepler-360 b,2014-05-14,2,0.0436,0.0,0.0,3.6973918821336715,2.606467422678679,-2.055331347007471,0.0,0.0,0.0,89.38,0.0,0.0,0.5700000000000074,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.5700000000000074,0.0,-0.0
Kepler-243,Kepler-243 c,2014-05-14,2,0.13811564521489272,0.0,0.0,4.6784793406630785,2.3149392033352933,-1.7550849692070014,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-261,Kepler-261 c,2014-05-14,2,0.15729466263759917,0.0,0.0,5.560627654275642,1.8688439221486766,-1.3072690612592908,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-327,Kepler-327 d,2014-05-14,3,0.09195,0.0,0.0,4.846838991433952,2.3409080451913855,-1.4360069288387605,0.0,0.0,0.0,89.38,0.0,0.0,-3.4399999999999977,0.0,-0.0,01+1-2+-3+3-4+4-5+-,-3.4399999999999977,0.0,-0.0
Kepler-136,Kepler-136 b,2014-05-14,2,0.10614368677199884,0.0,0.0,19.8,11.7,-10.4,0.0,0.0,0.0,88.24,0.0,0.0,0.0,0.0,-0.0,01+1-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-122,Kepler-122 d,2014-05-14,5,0.155,0.0,0.0,4.649530747290202,2.4169622551475527,-1.8053699868139437,0.0,0.0,0.0,89.95,0.0,0.0,-0.5700000000000074,0.0,-0.0,01+1-2+-3+3-4+4-5+-,-0.5700000000000074,0.0,-0.0
Kepler-157,Kepler-157 c,2014-05-14,3,0.11191612553504186,0.0,0.0,6.338985429408984,3.2332505472530677,-2.2770154902860833,0.0,0.0,0.0,86.52,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-147,Kepler-147 c,2014-05-14,2,0.2098,0.0,0.0,7.775339569756618,4.124566812626615,-2.8753929286387745,0.0,0.0,0.0,85.94,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
Kepler-239,Kepler-239 b,2014-05-14,2,0.0939,0.0,0.0,6.386424470510862,2.1141732517442,-1.5495899193981266,0.0,0.0,0.0,89.95,0.0,0.0,0.0,0.0,-0.0,01+1-2+-3+3-4+4-5+-,0.0,0.0,-0.0
