,hostname,pl_name,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag,pl_relincl,pl_relinclerr1,pl_relinclerr2,namd_rel,namd_rel_mc,namd_rel_q16,namd_rel_q50,namd_rel_q84
2376,TRAPPIST-1,TRAPPIST-1 e,2023-04-17,7,0.029245,0.00054,-0.00055,0.692,0.079,-0.075,0.04505,0.00058,-0.00058,-0.0830000000000126,0.0953362470417207,-0.0953362470417207,05d+-,-0.0830000000000126,0.0953362470417207,-0.0953362470417207,0.0004325496770516364,,0.0004206355932994458,0.0004348950465743546,0.00045124869965632004
2377,TRAPPIST-1,TRAPPIST-1 f,2023-04-17,7,0.038511805,0.00033,-0.0003199999999999,0.934,0.08,-0.078,0.036535,0.00068,-0.00068,0.0299999999999869,0.0422018956920183,-0.0422018956920183,05d+-,0.0299999999999869,0.0422018956920183,-0.0422018956920183,0.0004325496770516364,,0.0004206355932994458,0.0004348950465743546,0.00045124869965632004
2378,TRAPPIST-1,TRAPPIST-1 g,2022-11-14,7,0.04682264,0.0004,-0.000385,1.321,0.098,-0.095,0.03154,0.00058,-0.00058,0.0,0.0353553390593273,-0.0353553390593273,05d+-,0.0,0.0353553390593273,-0.0353553390593273,0.0004325496770516364,,0.0004206355932994458,0.0004348950465743546,0.00045124869965632004
2379,TRAPPIST-1,TRAPPIST-1 h,2022-11-14,7,0.06189,0.00053,-0.00051,0.3285,0.038,-0.0345,0.00567,0.00121,-0.00121,-0.0715000000000003,0.0501722034596847,-0.0459047927780967,05d+-,-0.0715000000000003,0.0501722034596847,-0.0459047927780967,0.0004325496770516364,,0.0004206355932994458,0.0004348950465743546,0.00045124869965632004
2400,WASP-148,WASP-148 b,2025-07-17,2,0.0835484092764933,0.00153,-0.00185,92.329384015,8.740301105,-8.740301105,0.214,0.063,-0.063,21.0,9.0,-17.0,0,15.600000000000009,4.607917099948739,-7.304991444211279,0.06220823976653103,,0.052394134032393715,0.07108207069597035,0.09343661326469402
2401,WASP-148,WASP-148 c,2022-10-03,2,0.205414386438398,0.0037999999999999,-0.00465,127.132,15.8915,-15.8915,0.351,0.06,-0.064,21.0,9.0,-17.0,05+-,0.0,6.505382386916237,-10.323759005323591,0.06220823976653103,,0.052394134032393715,0.07108207069597035,0.09343661326469402
2406,WASP-47,WASP-47 b,2024-12-10,4,0.0514371704138235,0.0013,-0.0013,363.35,18.0349,-17.5349,0.0028,0.0023499999999999,-0.0011,29.2,11.1,-13.3,0,-0.5,45.00044444224968,-45.00044444224968,0.03750989452331156,,0.09485185353412406,0.29800591458101083,0.8560327045710354
2407,WASP-47,WASP-47 c,2024-12-10,4,1.3929565604621683,0.04,-0.04,398.9,18.0,-22.0,0.295,0.0165,-0.0165,29.2,11.1,-13.3,05+-,0.0,63.63961030678928,-63.63961030678928,0.03750989452331156,,0.09485185353412406,0.29800591458101083,0.8560327045710354
2408,WASP-47,WASP-47 d,2024-12-10,4,0.0863990780451663,0.01085,-0.01085,14.7,4.25,-4.25,0.01,0.0104,-0.00555,29.2,11.1,-13.3,05+-,-0.8400000000000034,45.00078027101308,-45.00069443908616,0.03750989452331156,,0.09485185353412406,0.29800591458101083,0.8560327045710354
2409,WASP-47,WASP-47 e,2024-12-10,4,0.0169387411541483,0.002165,-0.002165,9.0,0.7350000000000001,-0.745,0.0,0.036,-0.02,29.2,11.1,-13.3,05+-,2.0349999999999966,45.07504853020127,-45.07504853020127,0.03750989452331156,,0.09485185353412406,0.29800591458101083,0.8560327045710354
2421,XO-2 N,XO-2 N b,2024-05-08,3,0.03665,0.00064,-0.00064,184.182485,10.48839,-12.553875,0.006,0.038,-0.022,27.0,12.0,-27.0,0,0.0,0.7212489168102785,-0.7707463914933369,1.8000162002929088e-05,,8.174178949629685e-05,0.00036066666274825465,0.0011446732629412136
2427,bet Pic,bet Pic b,2023-06-12,2,9.04,0.61,-0.4549999999999999,3321.3235,1007.04249358,-657.11182447,0.08,0.0805,-0.0465,0.0,0.5656854249492381,-0.5586143571373726,05d+-,0.0,0.5656854249492381,-0.5586143571373726,0.015185783002836245,,0.012211210604756504,0.0166140658485551,0.02261127540267269
2428,bet Pic,bet Pic c,2023-06-12,2,2.6900000000000004,0.016,-0.015,3041.466109285,373.44837822,-327.68108762,0.277,0.024,-0.034,-0.5190000000000055,0.4085205013215371,-0.4053467651283282,05d+-,-0.5190000000000055,0.4085205013215371,-0.4053467651283282,0.015185783002836245,,0.012211210604756504,0.0166140658485551,0.02261127540267269
2431,iot Dra,iot Dra b,2022-12-17,2,1.2875,0.0499999999999999,-0.0499999999999999,2815.85,181.14396547,-179.554823435,0.7067,0.00595,-0.00595,40.0,33.015148038438355,-26.87005768508881,05d+-,40.0,33.015148038438355,-26.87005768508881,0.1539893819782646,,0.15418663161007046,0.23847151647785278,0.37910051007720574
2432,iot Dra,iot Dra c,2022-05-03,2,19.4,10.0,-7.7,4958.1231492,4449.597698,-1620.9248757,0.455,0.12,-0.084,0.0,26.87005768508881,-26.87005768508881,05d+-,0.0,26.87005768508881,-26.87005768508881,0.1539893819782646,,0.15418663161007046,0.23847151647785278,0.37910051007720574
