,hostname,pl_name,rowupdate,sy_pnum,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,flag,pl_relincl,pl_relinclerr1,pl_relinclerr2,namd_rel,namd_rel_mc,namd_rel_q16,namd_rel_q50,namd_rel_q84
2056,Kepler-79,Kepler-79 e,2025-04-16,4,0.3871787329935915,0.00434,-0.00434,5.97,1.0,-0.8,0.0,0.044,-0.005,0.0700000000000073,0.0728010988928051,-0.0921954445729288,05d+-,0.0700000000000073,0.0728010988928051,-0.0921954445729288,1.5517814122886353e-07,,9.806757904570953e-05,0.00027932485173366543,0.0006950740510901171
2091,Kepler-87,Kepler-87 b,2019-04-16,2,0.4612672048947537,0.026,-0.028,324.2,8.8,-8.8,0.0,0.009,-0.009,0.0,0.0480832611206852,-0.0424264068711928,05d+-,0.0,0.0480832611206852,-0.0424264068711928,1.6091425085420886e-06,,2.01670526916331e-06,1.8789760491078056e-05,8.061240220614607e-05
2092,Kepler-87,Kepler-87 c,2018-09-25,2,1.33715,0.037,-0.04,6.4,0.8,-0.8,0.0,0.012,-0.012,-0.5700000000000074,0.0460108682813093,-0.0403608721412211,05d+-,-0.5700000000000074,0.0460108682813093,-0.0403608721412211,1.6091425085420886e-06,,2.01670526916331e-06,1.8789760491078056e-05,8.061240220614607e-05
2153,LTT 1445 A,LTT 1445 A b,2025-04-07,2,0.0380312286675782,0.00068,-0.00071,2.525,0.255,-0.25,0.185,0.35,-0.14,0.0,0.5798275605729689,-0.6505382386916237,05d+-,0.0,0.5798275605729689,-0.6505382386916237,0.014978214857795595,,0.0063900482854401825,0.02597170708721527,0.082728825793283
2154,LTT 1445 A,LTT 1445 A c,2025-04-07,2,0.02659,0.00047,-0.00049,1.37,0.19,-0.19,0.1365,0.05,-0.03,1.9699999999999989,0.4477722635447622,-0.543783044972901,05d+-,1.9699999999999989,0.4477722635447622,-0.543783044972901,0.014978214857795595,,0.0063900482854401825,0.02597170708721527,0.082728825793283
2155,LTT 3780,LTT 3780 b,2024-03-26,2,0.01199,0.00028,-0.00029,2.465,0.24,-0.235,0.016,0.051,-0.032,3.030000000000001,0.9646242791885348,-0.7021573897638621,05d+-,3.030000000000001,0.9646242791885348,-0.7021573897638621,0.001071951443438777,,0.0005151974749441314,0.0016527479777227688,0.004432569887516577
2156,LTT 3780,LTT 3780 c,2024-03-26,2,0.0762,0.0018,-0.0018,7.529999999999999,0.6599999999999999,-0.64,0.045,0.051,-0.041,0.0,0.4101219330881975,-0.2474873734152916,05d+-,0.0,0.4101219330881975,-0.2474873734152916,0.001071951443438777,,0.0005151974749441314,0.0016527479777227688,0.004432569887516577
2171,PDS 70,PDS 70 b,2020-07-06,2,21.3,2.0,-2.0,1748.065,1112.405,-1112.405,0.11,0.185,-0.06,-54.70000000000002,12.661062356690294,-12.043255373859678,05d+-,-54.70000000000002,12.661062356690294,-12.043255373859678,0.17804406583667828,,0.006131482299246711,0.0194028439710498,0.04534148813820515
2172,PDS 70,PDS 70 c,2020-07-06,2,34.25,4.0,-2.5,1984.76692461,992.383462305,-992.383462305,0.11,0.12,-0.06,0.0,9.899494936611664,-9.899494936611664,05d+-,0.0,9.899494936611664,-9.899494936611664,0.17804406583667828,,0.006131482299246711,0.0194028439710498,0.04534148813820515
2190,TOI-1064,TOI-1064 b,2024-05-08,2,0.06152,0.00086,-0.00089,13.5,1.7,-1.8,0.047,0.038,-0.03,0.0,0.1173797256769669,-0.1371787155501902,05d+-,0.0,0.1173797256769669,-0.1371787155501902,0.0016382951902955724,,0.00023905756876344778,0.0012756705808862903,0.003422226738622176
